id,split,label,amount,hour,n_prior_txns,distance_km,device_age_days,prediction
txn_00049,train,legitimate,33.76,17,7,7.9,973,legitimate
txn_00050,test,legitimate,49.44,13,13,17.4,423,legitimate
txn_00051,train,legitimate,30.91,17,15,34.2,836,legitimate
txn_00052,train,legitimate,24.88,22,5,20.4,1055,legitimate
txn_00053,test,legitimate,41.06,10,14,3.1,1337,legitimate
txn_00054,train,legitimate,4.56,8,11,31.2,873,legitimate
txn_00055,train,legitimate,89.9,21,9,25.8,1105,legitimate
txn_00056,train,legitimate,7.08,16,16,8.0,685,legitimate
txn_00057,train,legitimate,59.35,3,13,22.0,820,legitimate
txn_00058,test,fraud,33.44,6,15,86.9,1460,legitimate
txn_00059,train,legitimate,77.89,3,15,7.9,1460,legitimate
txn_00060,train,legitimate,26.65,22,4,14.3,249,legitimate
txn_00061,test,legitimate,10.01,2,14,83.0,42,legitimate
txn_00062,train,legitimate,75.32,1,10,125.2,854,legitimate
txn_00063,train,legitimate,30.98,9,8,63.0,966,legitimate
txn_00064,train,legitimate,29.01,10,18,97.1,1047,legitimate
txn_00065,train,legitimate,27.95,1,8,45.4,1010,legitimate
txn_00066,train,legitimate,70.17,11,11,53.0,1218,legitimate
txn_00067,test,legitimate,58.42,16,10,0.6,1013,legitimate
txn_00068,train,fraud,41.7,18,11,29.8,982,legitimate
txn_00069,test,legitimate,5.47,4,10,10.8,1173,legitimate
txn_00070,train,legitimate,17.23,18,9,100.3,417,legitimate
txn_00071,test,legitimate,28.7,16,15,20.9,745,legitimate
txn_00072,test,legitimate,155.49,21,16,61.2,426,legitimate
txn_00073,train,legitimate,37.96,13,12,20.4,209,legitimate
txn_00074,train,legitimate,23.58,2,8,26.9,658,legitimate
txn_00075,train,legitimate,85.5,16,7,30.3,957,legitimate
txn_00076,train,fraud,29.71,19,13,42.2,439,legitimate
txn_00077,train,legitimate,25.16,16,10,8.7,121,legitimate
txn_00078,test,legitimate,30.28,13,20,22.5,1306,legitimate
txn_00079,train,legitimate,5.79,18,10,0.0,1273,legitimate
txn_00080,train,legitimate,67.44,21,10,13.9,1322,legitimate
txn_00081,train,legitimate,39.63,11,11,12.6,1072,legitimate
txn_00082,test,legitimate,19.52,10,7,3.2,967,legitimate
txn_00083,train,legitimate,8.27,13,16,95.7,168,legitimate
txn_00084,train,legitimate,32.08,16,18,2.3,200,legitimate
txn_00085,test,legitimate,105.07,6,11,8.2,1062,legitimate
txn_00086,train,legitimate,13.65,2,13,50.2,1366,legitimate
txn_00087,test,legitimate,8.97,12,14,111.6,320,legitimate
txn_00088,train,legitimate,39.46,15,11,68.3,418,legitimate
txn_00089,test,legitimate,5.25,2,15,8.9,1187,legitimate
txn_00090,test,legitimate,2.81,4,8,8.9,1371,legitimate
txn_00091,test,legitimate,16.63,22,11,45.8,62,legitimate
txn_00092,train,legitimate,13.01,12,15,43.5,653,legitimate
txn_00093,train,legitimate,19.67,22,19,0.7,32,legitimate
txn_00094,train,legitimate,14.95,17,17,11.5,1415,legitimate
txn_00095,test,legitimate,36.19,1,7,85.6,574,legitimate
txn_00096,train,legitimate,20.82,3,8,9.7,4,legitimate
txn_00097,train,legitimate,14.27,0,20,23.6,637,legitimate
txn_00098,train,legitimate,16.43,20,11,15.4,450,legitimate
txn_00099,test,legitimate,48.85,9,11,17.3,605,legitimate
txn_00100,train,fraud,87.0,6,11,63.3,1390,legitimate
txn_00101,train,legitimate,64.19,12,19,28.4,8,legitimate
txn_00102,train,legitimate,52.19,15,17,19.2,69,legitimate
txn_00103,test,legitimate,0.96,11,10,31.3,0,legitimate
txn_00104,train,legitimate,9.55,1,11,86.0,292,legitimate
txn_00105,train,legitimate,18.98,8,10,17.9,700,legitimate
txn_00106,test,legitimate,31.95,9,20,30.5,1005,legitimate
txn_00107,train,legitimate,5.16,14,13,67.0,1024,legitimate
txn_00108,test,legitimate,107.88,16,11,24.4,371,legitimate
txn_00109,train,legitimate,35.25,9,10,3.4,1441,legitimate
txn_00110,train,legitimate,13.98,7,11,10.0,1075,legitimate
txn_00111,train,legitimate,30.66,9,9,36.9,1186,legitimate
txn_00112,train,legitimate,18.41,3,8,31.2,439,legitimate
txn_00113,train,legitimate,12.18,0,11,49.7,490,legitimate
txn_00114,train,legitimate,43.2,4,16,11.5,1054,legitimate
txn_00115,train,legitimate,16.55,14,15,41.4,700,legitimate
txn_00116,test,legitimate,6.35,13,12,6.9,215,legitimate
txn_00117,train,legitimate,13.81,1,17,16.1,1103,legitimate
txn_00118,train,legitimate,23.24,17,13,61.3,1161,legitimate
txn_00119,train,legitimate,8.85,20,12,38.9,505,legitimate
txn_00120,train,legitimate,92.01,5,16,27.4,1373,legitimate
txn_00121,train,legitimate,8.77,11,7,10.5,901,legitimate
txn_00122,train,legitimate,151.18,9,12,25.1,1162,legitimate
txn_00123,train,legitimate,63.81,8,9,31.5,598,legitimate
txn_00124,train,legitimate,10.18,23,8,14.1,1355,legitimate
txn_00125,test,legitimate,29.73,15,16,17.0,1097,legitimate
txn_00126,test,legitimate,85.14,16,8,35.3,948,legitimate
txn_00127,train,legitimate,21.58,21,12,15.3,550,legitimate
txn_00128,test,legitimate,7.92,11,9,7.8,435,legitimate
txn_00129,train,legitimate,29.23,4,14,10.6,166,legitimate
txn_00130,train,fraud,245.58,16,22,18.5,531,legitimate
txn_00131,test,legitimate,5.89,9,12,27.3,678,legitimate
txn_00132,train,legitimate,45.56,22,11,44.5,749,legitimate
txn_00133,train,legitimate,26.43,23,15,36.2,668,legitimate
txn_00134,train,fraud,29.88,9,7,26.9,262,legitimate
txn_00135,test,legitimate,17.74,20,13,70.6,841,legitimate
txn_00136,train,fraud,24.45,17,17,80.9,1191,legitimate
txn_00137,train,legitimate,74.0,9,11,1.7,446,legitimate
txn_00138,train,legitimate,47.63,16,12,23.7,783,legitimate
txn_00139,train,legitimate,9.68,8,12,106.3,491,legitimate
txn_00140,train,legitimate,124.74,19,8,2.1,1300,legitimate
txn_00141,train,legitimate,7.17,19,14,47.2,1185,legitimate
txn_00142,train,legitimate,50.95,22,5,35.1,752,legitimate
txn_00143,train,legitimate,31.57,2,8,67.4,1153,legitimate
txn_00144,train,legitimate,87.12,17,14,2.0,242,legitimate
txn_00145,test,legitimate,37.53,2,18,12.1,57,legitimate
txn_00146,train,legitimate,75.61,19,15,18.1,922,legitimate
txn_00147,test,legitimate,25.67,13,9,2.6,742,legitimate
txn_00148,train,legitimate,69.61,11,10,36.2,262,legitimate
txn_00149,train,fraud,47.7,13,13,78.8,1158,legitimate
txn_00150,train,legitimate,225.8,22,12,35.2,537,legitimate
txn_00151,train,legitimate,13.13,13,10,89.4,88,legitimate
txn_00152,train,legitimate,86.95,22,14,20.6,548,legitimate
txn_00153,train,legitimate,41.93,18,11,0.4,686,legitimate
txn_00154,test,legitimate,31.44,23,15,6.0,1405,legitimate
txn_00155,train,fraud,19.21,21,15,212.9,283,legitimate
txn_00156,train,legitimate,41.24,1,10,7.3,735,legitimate
txn_00157,test,legitimate,6.04,9,18,2.5,814,legitimate
txn_00158,train,legitimate,6.71,9,8,35.2,1291,legitimate
txn_00159,train,legitimate,53.77,7,18,24.9,604,legitimate
txn_00160,test,legitimate,5.57,12,14,24.7,536,legitimate
txn_00161,train,legitimate,111.06,20,6,44.1,949,legitimate
txn_00162,train,legitimate,20.07,3,13,120.0,1290,legitimate
txn_00163,test,legitimate,33.9,5,17,12.0,948,legitimate
txn_00164,train,legitimate,28.48,7,15,0.6,67,legitimate
txn_00165,train,legitimate,40.22,21,17,77.9,92,legitimate
txn_00166,test,legitimate,19.99,2,11,21.4,948,legitimate
txn_00167,train,legitimate,18.3,16,6,12.3,563,legitimate
txn_00168,test,legitimate,23.31,4,14,75.2,384,legitimate
txn_00169,test,fraud,96.95,20,14,9.7,86,legitimate
txn_00170,test,legitimate,82.14,22,11,20.1,782,legitimate
txn_00171,train,legitimate,94.55,15,10,8.0,1432,legitimate
txn_00172,train,legitimate,38.12,15,9,46.9,739,legitimate
txn_00173,test,legitimate,21.65,2,12,59.6,71,legitimate
txn_00174,test,legitimate,4.93,19,10,37.0,1386,legitimate
txn_00175,train,legitimate,50.33,17,6,7.5,290,legitimate
txn_00176,train,legitimate,61.34,1,14,15.5,1282,legitimate
txn_00177,train,legitimate,17.68,11,13,25.6,181,legitimate
txn_00178,train,legitimate,59.32,11,6,19.7,920,legitimate
txn_00179,train,legitimate,96.06,4,13,28.7,195,legitimate
txn_00180,train,legitimate,29.1,23,8,12.5,143,legitimate
txn_00181,train,legitimate,76.17,2,14,28.6,827,legitimate
txn_00182,train,legitimate,36.02,15,9,34.6,1499,legitimate
txn_00183,train,legitimate,4.67,6,14,18.9,365,legitimate
txn_00184,train,legitimate,16.51,19,14,34.7,210,legitimate
txn_00185,train,legitimate,17.57,3,8,21.1,1083,legitimate
txn_00186,train,legitimate,44.97,8,16,14.0,167,legitimate
txn_00187,test,legitimate,11.17,3,16,11.1,1463,legitimate
txn_00188,train,legitimate,17.08,6,11,7.9,193,legitimate
txn_00189,train,legitimate,10.12,20,12,8.1,1242,legitimate
txn_00190,train,legitimate,25.48,19,9,31.6,1019,legitimate
txn_00191,test,legitimate,28.4,22,12,7.3,457,legitimate
txn_00192,test,legitimate,70.2,5,11,10.6,40,legitimate
txn_00193,train,legitimate,58.78,23,21,25.8,376,legitimate
txn_00194,train,legitimate,31.23,19,15,59.0,162,legitimate
txn_00195,train,legitimate,33.72,13,12,15.6,225,legitimate
txn_00196,train,legitimate,29.54,12,8,2.5,1312,legitimate
txn_00197,test,legitimate,29.65,13,9,76.4,1076,legitimate
txn_00198,test,legitimate,124.42,18,10,16.9,907,legitimate
txn_00199,train,legitimate,2.21,1,17,2.3,143,legitimate
txn_00200,test,legitimate,22.23,22,11,15.9,806,legitimate
txn_00201,train,legitimate,36.23,2,7,0.6,1484,legitimate
txn_00202,train,legitimate,82.01,2,17,14.3,1345,legitimate
txn_00203,train,legitimate,8.87,18,12,6.2,1221,legitimate
txn_00204,train,legitimate,37.48,11,15,59.9,1111,legitimate
txn_00205,train,legitimate,62.74,13,11,22.6,1085,legitimate
txn_00206,test,legitimate,16.97,9,11,1.8,123,legitimate
txn_00207,test,fraud,5.04,13,12,29.8,1421,legitimate
txn_00208,test,legitimate,18.49,17,12,15.3,501,legitimate
txn_00209,test,legitimate,7.97,18,10,41.4,12,legitimate
txn_00210,test,legitimate,50.81,17,23,61.2,1116,legitimate
txn_00211,train,legitimate,11.32,19,13,76.2,210,legitimate
txn_00212,test,legitimate,157.22,18,19,9.9,1274,legitimate
txn_00213,train,legitimate,30.53,17,12,52.0,748,legitimate
txn_00214,train,legitimate,11.84,18,17,29.4,1382,legitimate
txn_00215,train,legitimate,16.0,0,14,1.2,995,legitimate
txn_00216,test,legitimate,8.89,21,14,57.7,956,legitimate
txn_00217,test,legitimate,39.12,13,18,34.4,159,legitimate
txn_00218,train,legitimate,117.72,11,10,18.1,217,legitimate
txn_00219,test,legitimate,21.36,20,18,8.8,802,legitimate
txn_00220,test,legitimate,66.82,7,12,49.4,478,legitimate
txn_00221,train,legitimate,10.33,19,12,18.2,92,legitimate
txn_00222,train,legitimate,36.06,7,11,6.1,1150,legitimate
txn_00223,train,legitimate,265.34,22,14,55.5,581,legitimate
txn_00224,train,legitimate,6.5,22,10,8.6,168,legitimate
txn_00225,test,legitimate,90.87,12,10,41.6,210,legitimate
txn_00226,test,legitimate,85.69,20,7,32.3,845,legitimate
txn_00227,train,legitimate,4.04,12,8,50.5,1180,legitimate
txn_00228,train,legitimate,6.31,11,7,8.2,468,legitimate
txn_00229,train,legitimate,9.98,0,19,68.6,1144,legitimate
txn_00230,train,legitimate,69.81,8,17,162.1,429,legitimate
txn_00231,train,legitimate,17.26,12,15,0.3,1232,legitimate
txn_00232,train,legitimate,22.41,3,14,27.4,88,legitimate
txn_00233,train,legitimate,53.75,13,14,5.8,604,legitimate
txn_00234,train,legitimate,29.81,8,9,24.7,35,legitimate
txn_00235,train,legitimate,33.2,22,9,8.5,240,legitimate
txn_00236,test,legitimate,19.21,4,11,9.3,184,legitimate
txn_00237,train,legitimate,81.51,21,5,28.9,1131,legitimate
txn_00238,train,legitimate,12.16,19,12,9.4,260,legitimate
txn_00239,test,fraud,181.52,1,6,11.6,641,legitimate
txn_00240,train,legitimate,18.88,17,10,43.2,1388,legitimate
txn_00241,train,legitimate,11.92,3,9,40.7,189,legitimate
txn_00242,train,legitimate,50.53,9,10,39.7,447,legitimate
txn_00243,test,legitimate,41.54,9,14,19.3,27,legitimate
txn_00244,train,legitimate,3.65,3,7,68.7,878,legitimate
txn_00245,train,legitimate,33.0,18,10,26.5,441,legitimate
txn_00246,train,legitimate,6.86,17,10,2.3,116,legitimate
txn_00247,train,legitimate,11.54,3,13,3.1,922,legitimate
txn_00248,test,legitimate,58.06,9,13,23.7,706,legitimate
txn_00249,train,legitimate,11.16,18,17,3.2,734,legitimate
txn_00250,test,legitimate,37.69,17,7,9.1,1273,legitimate
txn_00251,train,legitimate,18.07,14,12,74.1,602,legitimate
txn_00252,test,legitimate,182.46,13,13,0.6,130,legitimate
txn_00253,train,legitimate,23.98,21,7,34.9,18,legitimate
txn_00254,train,legitimate,8.15,14,14,57.2,4,legitimate
txn_00255,train,legitimate,8.74,8,15,18.7,810,legitimate
txn_00256,train,legitimate,10.66,11,8,9.6,1465,legitimate
txn_00257,train,legitimate,29.92,9,12,0.3,1498,legitimate
txn_00258,train,legitimate,26.25,3,11,21.3,1285,legitimate
txn_00259,train,legitimate,69.37,1,11,58.1,272,legitimate
txn_00260,train,legitimate,31.09,22,13,33.9,1326,legitimate
txn_00261,train,legitimate,29.9,12,15,16.2,1170,legitimate
txn_00262,train,legitimate,36.33,23,8,31.5,1403,legitimate
txn_00263,test,legitimate,23.07,18,17,16.5,124,legitimate
txn_00264,train,legitimate,35.16,17,11,37.1,1427,legitimate
txn_00265,test,legitimate,57.42,12,16,14.2,1135,legitimate
txn_00266,test,legitimate,57.41,11,9,69.2,1352,legitimate
txn_00267,train,legitimate,15.2,12,8,40.5,637,legitimate
txn_00268,test,legitimate,4.47,18,9,57.8,558,legitimate
txn_00269,train,legitimate,11.68,21,14,70.5,1087,legitimate
txn_00270,train,legitimate,34.71,7,13,38.9,1135,legitimate
txn_00271,test,legitimate,2.17,18,12,13.0,963,legitimate
txn_00272,test,legitimate,16.26,20,14,69.3,469,legitimate
txn_00273,train,legitimate,40.98,7,17,5.6,510,legitimate
txn_00274,test,legitimate,14.87,12,11,22.8,531,legitimate
txn_00275,train,legitimate,8.54,22,10,24.5,1259,legitimate
txn_00276,train,legitimate,150.87,12,14,19.2,903,legitimate
txn_00277,train,legitimate,104.27,17,9,43.4,688,legitimate
txn_00278,train,legitimate,20.15,1,12,32.6,58,legitimate
txn_00279,train,legitimate,97.89,7,13,8.1,1477,legitimate
txn_00280,train,legitimate,95.53,1,12,25.6,1224,legitimate
txn_00281,train,legitimate,8.42,5,8,2.5,1161,legitimate
txn_00282,test,legitimate,380.06,4,7,177.6,791,legitimate
txn_00283,test,legitimate,10.2,16,14,57.1,27,legitimate
txn_00284,train,legitimate,20.01,3,11,29.4,322,legitimate
txn_00285,train,legitimate,8.7,12,17,11.4,1138,legitimate
txn_00286,train,legitimate,28.1,0,12,56.5,722,legitimate
txn_00287,train,legitimate,6.98,14,14,5.2,874,legitimate
txn_00288,train,legitimate,25.79,15,6,11.2,409,legitimate
txn_00289,test,legitimate,76.64,3,13,98.7,1358,legitimate
txn_00290,train,legitimate,32.13,3,14,49.8,108,legitimate
txn_00291,test,legitimate,19.91,18,13,3.0,895,legitimate
txn_00292,test,legitimate,121.62,20,13,28.1,406,legitimate
txn_00293,train,legitimate,10.57,20,13,40.5,924,legitimate
txn_00294,train,legitimate,68.2,14,10,72.5,198,legitimate
txn_00295,train,fraud,24.58,10,13,82.4,914,legitimate
txn_00296,train,legitimate,32.11,17,17,11.5,109,legitimate
txn_00297,test,legitimate,26.69,7,9,76.5,333,legitimate
txn_00298,train,legitimate,29.38,13,18,20.6,1460,legitimate
txn_00299,train,legitimate,24.5,23,10,19.8,724,legitimate
txn_00300,test,legitimate,11.81,5,16,41.8,1452,legitimate
txn_00301,train,legitimate,14.62,23,12,20.1,1312,legitimate
txn_00302,train,legitimate,40.11,17,19,30.7,1291,legitimate
txn_00303,train,legitimate,23.14,2,7,19.9,238,legitimate
txn_00304,train,legitimate,8.05,20,18,12.4,522,legitimate
txn_00305,test,legitimate,12.72,12,6,1.1,581,legitimate
txn_00306,train,legitimate,12.87,20,12,84.5,501,legitimate
txn_00307,train,legitimate,24.33,10,11,21.1,1170,legitimate
txn_00308,test,legitimate,30.7,7,11,63.5,141,legitimate
txn_00309,train,legitimate,28.11,6,12,0.9,1319,legitimate
txn_00310,test,legitimate,13.34,18,13,42.0,735,legitimate
txn_00311,train,legitimate,26.08,12,11,9.9,263,legitimate
txn_00312,train,legitimate,6.52,6,19,36.4,685,legitimate
txn_00313,train,legitimate,1.43,16,8,40.1,399,legitimate
txn_00314,test,legitimate,24.2,2,12,6.7,422,legitimate
txn_00315,train,legitimate,4.89,8,15,10.4,1117,legitimate
txn_00316,train,legitimate,9.9,9,8,6.7,193,legitimate
txn_00317,train,legitimate,7.64,7,11,105.5,1133,legitimate
txn_00318,train,legitimate,47.76,13,13,13.5,516,legitimate
txn_00319,train,legitimate,7.59,20,13,59.8,416,legitimate
txn_00320,train,fraud,42.99,4,14,18.4,128,legitimate
txn_00321,test,legitimate,15.57,15,13,11.3,191,legitimate
txn_00322,train,legitimate,7.36,3,18,28.6,477,legitimate
txn_00323,train,legitimate,5.24,7,15,2.5,124,legitimate
txn_00324,train,legitimate,40.13,23,12,3.4,447,legitimate
txn_00325,train,legitimate,37.17,3,9,15.3,1380,legitimate
txn_00326,test,legitimate,54.71,0,6,18.1,805,legitimate
txn_00327,train,fraud,202.01,9,14,75.5,1436,legitimate
txn_00328,test,legitimate,33.04,16,16,0.2,756,legitimate
txn_00329,train,legitimate,33.32,22,14,19.6,22,legitimate
txn_00330,test,legitimate,22.21,16,13,2.3,1431,legitimate
txn_00331,test,legitimate,27.9,19,16,51.2,577,legitimate
txn_00332,train,legitimate,17.67,11,11,42.4,21,legitimate
txn_00333,test,legitimate,10.25,5,7,34.5,428,legitimate
txn_00334,test,legitimate,183.78,12,11,10.3,1,legitimate
txn_00335,train,legitimate,3.89,14,12,24.6,641,legitimate
txn_00336,train,legitimate,32.2,6,9,49.1,390,legitimate
txn_00337,train,legitimate,38.86,0,9,13.8,807,legitimate
txn_00338,train,legitimate,28.98,14,8,23.2,1325,legitimate
txn_00339,test,legitimate,9.52,21,16,3.5,720,legitimate
txn_00340,test,legitimate,20.55,16,13,20.9,416,legitimate
txn_00341,train,legitimate,15.68,22,21,7.1,851,legitimate
txn_00342,train,legitimate,8.48,21,8,59.9,1212,legitimate
txn_00343,train,legitimate,23.68,5,14,2.2,793,legitimate
txn_00344,train,legitimate,16.48,16,8,55.1,660,legitimate
txn_00345,train,fraud,18.3,8,11,64.9,806,legitimate
txn_00346,test,legitimate,48.94,16,15,34.2,89,legitimate
txn_00347,test,legitimate,8.56,7,9,6.1,1353,legitimate
txn_00348,test,legitimate,38.3,0,11,39.4,552,legitimate
txn_00349,train,legitimate,13.38,4,13,15.7,419,legitimate
txn_00350,test,legitimate,37.73,1,15,16.1,1100,legitimate
txn_00351,test,legitimate,26.36,16,14,6.5,288,legitimate
txn_00352,train,legitimate,31.26,20,16,9.7,705,legitimate
txn_00353,train,legitimate,9.22,9,12,23.2,1284,legitimate
txn_00354,train,legitimate,11.31,9,14,13.2,1443,legitimate
txn_00355,test,legitimate,10.42,0,14,59.1,736,legitimate
txn_00356,train,legitimate,29.14,19,6,2.3,1033,legitimate
txn_00357,test,legitimate,51.62,5,14,24.8,136,legitimate
txn_00358,train,legitimate,71.87,3,14,6.9,1187,legitimate
txn_00359,train,legitimate,14.82,15,6,17.1,1092,legitimate
txn_00360,train,legitimate,26.59,0,17,25.0,1469,legitimate
txn_00361,test,legitimate,4.85,16,15,11.5,846,legitimate
txn_00362,test,legitimate,2.66,7,17,55.0,122,legitimate
txn_00363,train,legitimate,10.27,0,17,7.4,1072,legitimate
txn_00364,train,legitimate,12.53,23,15,92.0,956,legitimate
txn_00365,train,legitimate,5.17,13,10,130.5,397,legitimate
txn_00366,train,legitimate,4.12,7,7,14.2,871,legitimate
txn_00367,test,legitimate,41.4,15,14,16.9,1328,legitimate
txn_00368,test,legitimate,10.89,10,18,12.2,1176,legitimate
txn_00369,test,legitimate,4.53,15,9,9.6,268,legitimate
txn_00370,train,legitimate,245.89,19,20,15.4,60,legitimate
txn_00371,train,legitimate,28.76,15,11,11.2,1210,legitimate
txn_00372,test,fraud,22.63,15,16,22.9,667,legitimate
txn_00373,train,fraud,61.03,18,10,105.5,451,legitimate
txn_00374,train,legitimate,11.32,18,15,15.3,796,legitimate
txn_00375,test,fraud,150.99,8,9,28.8,1294,legitimate
txn_00376,train,legitimate,5.19,13,9,4.4,826,legitimate
txn_00377,test,legitimate,6.54,20,8,96.6,1243,legitimate
txn_00378,test,legitimate,20.98,12,12,1.3,474,legitimate
txn_00379,test,legitimate,11.21,10,13,62.7,1193,legitimate
txn_00380,test,legitimate,98.04,14,14,31.7,1449,legitimate
txn_00381,test,legitimate,4.85,1,6,14.3,1056,legitimate
txn_00382,test,legitimate,11.57,23,12,3.2,1389,legitimate
txn_00383,train,legitimate,30.37,15,21,62.3,1173,legitimate
txn_00384,train,legitimate,41.92,0,13,81.9,118,legitimate
txn_00385,test,legitimate,64.93,8,12,87.5,1194,legitimate
txn_00386,test,legitimate,33.63,13,14,3.9,55,legitimate
txn_00387,train,legitimate,214.72,15,11,21.0,1087,legitimate
txn_00388,train,legitimate,14.86,23,13,2.1,1154,legitimate
txn_00389,train,legitimate,28.38,8,8,20.1,142,legitimate
txn_00390,train,legitimate,55.9,10,13,6.5,327,legitimate
txn_00391,test,legitimate,17.36,11,8,27.6,563,legitimate
txn_00392,test,legitimate,17.74,16,13,17.2,569,legitimate
txn_00393,train,legitimate,14.95,13,15,10.8,1312,legitimate
txn_00394,train,legitimate,12.49,13,15,69.3,1122,legitimate
txn_00395,train,legitimate,7.69,16,12,46.8,33,legitimate
txn_00396,train,legitimate,13.63,20,11,16.3,182,legitimate
txn_00397,train,legitimate,5.05,7,11,15.0,262,legitimate
txn_00398,train,legitimate,34.53,17,13,4.5,1053,legitimate
txn_00399,train,legitimate,4.83,16,13,6.3,1241,legitimate
txn_00400,test,legitimate,184.79,14,14,7.5,993,legitimate
txn_00401,train,legitimate,128.37,5,7,10.0,1311,legitimate
txn_00402,test,legitimate,70.91,16,12,36.4,1200,legitimate
txn_00403,train,legitimate,19.08,18,16,16.4,1165,legitimate
txn_00404,train,legitimate,13.11,7,9,14.8,798,legitimate
txn_00405,test,fraud,102.3,5,13,120.1,1014,legitimate
txn_00406,train,legitimate,28.16,9,16,12.9,934,legitimate
txn_00407,test,legitimate,41.04,1,9,10.0,843,legitimate
txn_00408,test,legitimate,11.46,19,8,26.2,1166,legitimate
txn_00409,test,legitimate,67.91,0,10,92.1,388,legitimate
txn_00410,train,legitimate,10.58,6,5,26.6,956,legitimate
txn_00411,train,legitimate,26.08,14,14,0.0,548,legitimate
txn_00412,train,fraud,5.37,3,10,11.5,266,legitimate
txn_00413,test,legitimate,12.19,7,15,67.8,389,legitimate
txn_00414,train,legitimate,38.57,2,15,28.3,808,legitimate
txn_00415,train,legitimate,14.94,13,9,15.9,654,legitimate
txn_00416,test,legitimate,14.99,3,16,1.6,846,legitimate
txn_00417,train,legitimate,51.3,7,8,42.2,900,legitimate
txn_00418,train,legitimate,21.73,2,5,16.7,971,legitimate
txn_00419,train,legitimate,80.49,10,11,15.0,730,legitimate
txn_00420,train,legitimate,2.1,14,10,60.9,664,legitimate
txn_00421,train,legitimate,41.12,20,13,28.3,1499,legitimate
txn_00422,test,legitimate,38.67,16,8,51.2,1446,legitimate
txn_00423,test,legitimate,5.01,22,9,18.7,1259,legitimate
txn_00424,train,legitimate,6.4,5,9,25.0,1422,legitimate
txn_00425,test,fraud,71.8,1,13,16.1,862,fraud
txn_00426,test,legitimate,8.05,8,18,83.8,225,legitimate
txn_00427,test,legitimate,12.36,22,7,26.9,200,legitimate
txn_00428,test,legitimate,42.28,13,7,32.5,1387,legitimate
txn_00429,train,legitimate,16.74,12,8,8.9,403,legitimate
txn_00430,train,legitimate,37.45,9,15,0.6,1126,legitimate
